"No.","Time","Source","Destination","Protocol","Length","Info"
"43","10.368049474","192.168.1.6","52.114.74.218","TCP","74","[TCP Retransmission] 34089  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758960025 TSecr=0 WS=128"
"44","10.598200860","192.168.1.6","52.114.74.218","TCP","74","57015  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758960255 TSecr=0 WS=128"
"45","10.598970429","192.168.1.6","51.11.192.50","TCP","74","45577  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=304203670 TSecr=0 WS=128"
"46","10.628163676","192.168.1.6","52.114.74.218","TCP","74","[TCP Retransmission] 45453  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758960285 TSecr=0 WS=128"
"47","10.628198235","192.168.1.6","51.11.192.50","TCP","74","[TCP Retransmission] 34383  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=304203699 TSecr=0 WS=128"
"48","10.628221621","192.168.1.6","52.114.74.218","TCP","74","[TCP Retransmission] 53519  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758960285 TSecr=0 WS=128"
"49","10.848134380","192.168.1.6","52.114.74.218","TCP","74","42787  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758960505 TSecr=0 WS=128"
"50","10.848929452","192.168.1.6","51.11.192.50","TCP","74","39343  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=304203920 TSecr=0 WS=128"
"51","10.880017907","192.168.1.6","51.11.192.50","TCP","74","[TCP Retransmission] 49949  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=304203951 TSecr=0 WS=128"
"52","10.880048036","192.168.1.6","52.114.74.218","TCP","74","[TCP Retransmission] 35549  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758960537 TSecr=0 WS=128"
"53","10.880063051","192.168.1.6","52.114.74.218","TCP","74","[TCP Retransmission] 39641  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758960537 TSecr=0 WS=128"
"54","11.098264881","192.168.1.6","52.114.74.218","TCP","74","38717  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758960755 TSecr=0 WS=128"
"55","11.098904488","192.168.1.6","51.11.192.50","TCP","74","58461  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=304204170 TSecr=0 WS=128"
"56","11.104029714","192.168.1.6","51.11.192.50","TCP","74","[TCP Retransmission] 37841  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=304204175 TSecr=0 WS=128"
"57","11.104076219","192.168.1.6","52.114.74.218","TCP","74","[TCP Retransmission] 40547  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758960761 TSecr=0 WS=128"
"58","11.136043793","192.168.1.6","52.114.74.218","TCP","74","[TCP Retransmission] 34919  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3758960793 TSecr=0 WS=128"
